"setting","metric","quantile","target_type","target_level","threshold_value","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
1,"brier",0.995,"threshold_quantile",0.995,100.52,0.00403018868318556,5.64318006315892e-05,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0,"score_quantile",0,NA,0,0,NA,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.1,"score_quantile",0.1,NA,4.39850123659763,0.0092637342068036,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.2,"score_quantile",0.2,NA,7.25266802011456,0.00501449715588365,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.3,"score_quantile",0.3,NA,9.20777060778707,0.00435545609984533,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.4,"score_quantile",0.4,NA,10.416703891856,0.0215173947415437,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.5,"score_quantile",0.5,NA,10.9146529849453,0.0527421207707865,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.6,"score_quantile",0.6,NA,10.7066258618664,0.0639728740380745,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.7,"score_quantile",0.7,NA,9.75149403596915,0.0451223632388178,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.8,"score_quantile",0.8,NA,7.94179937205494,0.018979046955661,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.9,"score_quantile",0.9,NA,5.04130951317699,0.0152250584038081,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.95,"score_quantile",0.95,NA,3.00132002918319,0.0179520526266386,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.98,"score_quantile",0.98,NA,1.4435089289031,0.0301335869901228,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.99,"score_quantile",0.99,NA,0.820138747261282,0.0357839009587701,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"quantile",0.995,"score_quantile",0.995,NA,0.468837295899911,0.035098055500918,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
2,"brier",0,"threshold_quantile",0,2,0.000184707505458697,3.21909363164114e-05,1.29176807524409,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.1,"threshold_quantile",0.1,28.875,0.0477429290766836,0.00169774397157848,1.23448666304904,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.2,"threshold_quantile",0.2,36,0.078585934107636,0.00299341648334506,1.24233619292627,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.3,"threshold_quantile",0.3,41.625,0.0997564822481584,0.00246503532456813,1.26351629604149,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.4,"threshold_quantile",0.4,46.5,0.113579535191537,0.00173049677645513,1.27213210310857,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.5,"threshold_quantile",0.5,50.875,0.119451330002504,0.00206976999249436,1.26293288251781,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.6,"threshold_quantile",0.6,55.429,0.118352370663709,0.000213098785739982,1.25131402865778,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.7,"threshold_quantile",0.7,60.125,0.108320170040278,0.000152420437341573,1.25228788390435,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.8,"threshold_quantile",0.8,65.5,0.0891752887988501,0.00167098671332874,1.24643165623543,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.9,"threshold_quantile",0.9,73.25,0.0572042185663696,0.0014469860415717,1.26993825926347,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.95,"threshold_quantile",0.95,79.75,0.034655133448471,0.00206857350848598,1.28209266620759,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.98,"threshold_quantile",0.98,88.5,0.0162183139095435,0.000947444488854946,1.25605198610554,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.99,"threshold_quantile",0.99,94.75,0.00890127593230765,0.000748857377668992,1.22547508515348,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"brier",0.995,"threshold_quantile",0.995,100.52,0.00469314228442997,0.000116805783638102,1.16449691400562,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0,"score_quantile",0,NA,0,0,NA,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.1,"score_quantile",0.1,NA,4.54788388120492,0.064591949176565,1.03396216951455,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.2,"score_quantile",0.2,NA,7.45772102455279,0.0762347889016128,1.02827276856869,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.3,"score_quantile",0.3,NA,9.47232195455762,0.0686440774523405,1.02873131380432,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.4,"score_quantile",0.4,NA,10.7292721974344,0.0288713186187248,1.03000645010393,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.5,"score_quantile",0.5,NA,11.264970508654,0.0202698875688698,1.03209607526615,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.6,"score_quantile",0.6,NA,11.076551133222,0.0538624670695773,1.03455105988836,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.7,"score_quantile",0.7,NA,10.1177428615432,0.0533910572495371,1.0375582268956,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.8,"score_quantile",0.8,NA,8.28194659654231,0.0402370279818127,1.04282999463374,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.9,"score_quantile",0.9,NA,5.30414591425517,0.0339742939307337,1.05213653325414,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.95,"score_quantile",0.95,NA,3.18081119529211,0.0426962738300802,1.05980407432851,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.98,"score_quantile",0.98,NA,1.5511308430543,0.0549137717818913,1.07455576615863,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.99,"score_quantile",0.99,NA,0.887552109234117,0.0579017558495856,1.08219750889462,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
2,"quantile",0.995,"score_quantile",0.995,NA,0.508297384948689,0.0543328472957905,1.08416584899253,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
3,"brier",0,"threshold_quantile",0,2,0.000142262128128378,6.08070176841007e-05,0.994922620908962,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.1,"threshold_quantile",0.1,28.875,0.0441168292458275,0.0021416332031181,1.14072677092163,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.2,"threshold_quantile",0.2,36,0.0716681360287332,0.00412747009279722,1.13297526178297,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.3,"threshold_quantile",0.3,41.625,0.0920919950054843,0.00428262149530751,1.16643784746679,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.4,"threshold_quantile",0.4,46.5,0.105875554393124,0.00309545787994421,1.18584471622267,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.5,"threshold_quantile",0.5,50.875,0.113026284774416,0.00174088507137921,1.19500227940065,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.6,"threshold_quantile",0.6,55.429,0.113624030390757,0.000688422478779101,1.20132230916257,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.7,"threshold_quantile",0.7,60.125,0.105462549298857,0.00142681923300771,1.21925097277373,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.8,"threshold_quantile",0.8,65.5,0.0875952207613678,0.00286582682288315,1.22434653772949,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.9,"threshold_quantile",0.9,73.25,0.0549640096074782,0.00083469726272534,1.22020543995505,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.95,"threshold_quantile",0.95,79.75,0.0335764572410533,0.00155472074026139,1.24218623050451,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.98,"threshold_quantile",0.98,88.5,0.015713654136661,0.000891305312788407,1.21696784249037,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.99,"threshold_quantile",0.99,94.75,0.00863990065749545,0.000758270003165206,1.18949048141876,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"brier",0.995,"threshold_quantile",0.995,100.52,0.00463131233334485,9.21861417969606e-05,1.14915521267459,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0,"score_quantile",0,NA,0.00122766055263412,0.000760952775531226,Inf,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.1,"score_quantile",0.1,NA,4.58544122348512,0.0260856214639182,1.04250083763352,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.2,"score_quantile",0.2,NA,7.48716732923462,0.00668992573099247,1.03233283371991,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.3,"score_quantile",0.3,NA,9.47109725105562,0.0108451944699617,1.02859830620084,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.4,"score_quantile",0.4,NA,10.6915792076116,0.00540992971559184,1.02638793601213,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.5,"score_quantile",0.5,NA,11.1996548218336,0.00201862098414018,1.02611185507055,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.6,"score_quantile",0.6,NA,11.0071746757171,0.0152939241630818,1.0280712913413,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.7,"score_quantile",0.7,NA,10.0582746251626,0.0184820183687489,1.03145985508086,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.8,"score_quantile",0.8,NA,8.24103962119465,0.00581897437836432,1.03767914991566,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.9,"score_quantile",0.9,NA,5.29331431811224,0.000792327552497696,1.04998796528492,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.95,"score_quantile",0.95,NA,3.18867023133921,0.0130621163754612,1.06242260083374,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.98,"score_quantile",0.98,NA,1.5621650325354,0.03936339729719,1.08219977116627,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.99,"score_quantile",0.99,NA,0.9030826584013,0.0477926016056706,1.10113399887153,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
3,"quantile",0.995,"score_quantile",0.995,NA,0.528369553264995,0.0489446507991165,1.12697850168002,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
4,"brier",0,"threshold_quantile",0,2,0.000149449925913661,6.40925599054919e-05,1.04519111263744,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.1,"threshold_quantile",0.1,28.875,0.0437860469811635,0.00243388408827056,1.13217374952144,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.2,"threshold_quantile",0.2,36,0.0696740201251176,0.00331652656155405,1.10145101526122,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.3,"threshold_quantile",0.3,41.625,0.0883849277596864,0.00298872043569576,1.11948410802022,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.4,"threshold_quantile",0.4,46.5,0.102505094183976,0.00216219970282861,1.14809433604127,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.5,"threshold_quantile",0.5,50.875,0.109779950676171,0.00139414133683196,1.16067949638747,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.6,"threshold_quantile",0.6,55.429,0.110082681633562,7.24156637357531e-05,1.16388039435007,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.7,"threshold_quantile",0.7,60.125,0.102020956154847,0.000417463778419586,1.17946276533304,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.8,"threshold_quantile",0.8,65.5,0.0846465866452261,0.00198313397205783,1.18313253153429,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.9,"threshold_quantile",0.9,73.25,0.0532238467362849,0.000130983310428458,1.18157368406603,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.95,"threshold_quantile",0.95,79.75,0.0327963700159725,0.000966692566610122,1.21332631825615,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.98,"threshold_quantile",0.98,88.5,0.0155818463456029,0.000465693253996682,1.20675978765395,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.99,"threshold_quantile",0.99,94.75,0.00860980273666264,0.000739390983724409,1.18534677748507,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"brier",0.995,"threshold_quantile",0.995,100.52,0.00463564219522473,0.000124165829466626,1.15022956978794,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0,"score_quantile",0,NA,0.00272963639311282,0.00187384441535409,Inf,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.1,"score_quantile",0.1,NA,4.6113103783521,0.0627599352531911,1.04838219436743,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.2,"score_quantile",0.2,NA,7.48811787582414,0.0479902819772446,1.03246389536328,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.3,"score_quantile",0.3,NA,9.44901600123373,0.0429655519571019,1.02620019586963,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.4,"score_quantile",0.4,NA,10.6460092613314,0.0202919948567377,1.02201323680274,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.5,"score_quantile",0.5,NA,11.1305594125882,0.0197040486873385,1.01978133688178,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.6,"score_quantile",0.6,NA,10.9263533880581,0.0448937420616522,1.02052257443443,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.7,"score_quantile",0.7,NA,9.98253024601317,0.0402796801906122,1.02369239105227,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.8,"score_quantile",0.8,NA,8.18378890841204,0.0272232481655177,1.03047036635156,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.9,"score_quantile",0.9,NA,5.24455496924481,0.0318548632102349,1.0403160043113,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.95,"score_quantile",0.95,NA,3.16241407822572,0.0418055281867671,1.05367439908978,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.98,"score_quantile",0.98,NA,1.54618143722748,0.0588462157935441,1.07112703376376,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.99,"score_quantile",0.99,NA,0.893734429873232,0.0621087673037626,1.08973564882492,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
4,"quantile",0.995,"score_quantile",0.995,NA,0.521776067838782,0.0638119624267025,1.11291501849753,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
5,"brier",0,"threshold_quantile",0,2,0.000163522841484896,6.02125572471696e-05,1.14361127707733,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.1,"threshold_quantile",0.1,28.875,0.0443809988504146,0.0012382592007649,1.1475573919152,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.2,"threshold_quantile",0.2,36,0.0700985006192214,0.00185692533059942,1.10816147161711,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.3,"threshold_quantile",0.3,41.625,0.0877761136728339,0.00168691078661431,1.11177286457356,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.4,"threshold_quantile",0.4,46.5,0.101085042048837,0.00062061096108236,1.13218923565366,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.5,"threshold_quantile",0.5,50.875,0.10773659193268,0.000131642815401047,1.13907550966015,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.6,"threshold_quantile",0.6,55.429,0.108621298090668,0.00105375829571883,1.14842950208473,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.7,"threshold_quantile",0.7,60.125,0.100469755931596,0.00162717992426035,1.16152936249251,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.8,"threshold_quantile",0.8,65.5,0.084256218285829,0.00256859395641328,1.17767622758171,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.9,"threshold_quantile",0.9,73.25,0.0530518037936261,8.24966801810552e-05,1.17775431688308,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.95,"threshold_quantile",0.95,79.75,0.0325127656310462,0.000881482293545108,1.20283416122668,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.98,"threshold_quantile",0.98,88.5,0.0152403247978499,0.000346684047662316,1.18031013199026,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.99,"threshold_quantile",0.99,94.75,0.00844758383863984,0.000724272197396196,1.16301343793018,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"brier",0.995,"threshold_quantile",0.995,100.52,0.00457505514487606,0.000150605539141292,1.13519626611125,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"quantile",0,"score_quantile",0,NA,0.00337668247980382,0.000829026467619777,Inf,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"quantile",0.1,"score_quantile",0.1,NA,4.64167267717137,0.0164832974313116,1.05528506813876,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"quantile",0.2,"score_quantile",0.2,NA,7.53960412613906,0.00156506522505628,1.03956283470148,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"quantile",0.3,"score_quantile",0.3,NA,9.50200655094338,0.0142606871964892,1.03195517739196,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"quantile",0.4,"score_quantile",0.4,NA,10.6955993473407,0.00506867624428065,1.02677386804695,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"quantile",0.5,"score_quantile",0.5,NA,11.1737101520047,0.0360066088422064,1.02373480562476,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
5,"quantile",0.6,"score_quantile",0.6,NA,10.9533925051001,0.0472227627349344,1.02304803085654,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
